113.141.91.58 - - [25/Nov/2024:00:16:29 +0100] "GET / HTTP/1.0" 200 1754 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
95.65.20.52 - - [25/Nov/2024:00:52:37 +0100] "GET / HTTP/1.0" 200 1754 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/css/global.css HTTP/1.1" 200 151 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/css/main.css HTTP/1.1" 200 4011 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/css/reset.css HTTP/1.1" 200 2356 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/css/responsive.css HTTP/1.1" 200 2319 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/js/main.js HTTP/1.1" 200 9300 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/js/classPopup.js HTTP/1.1" 200 603 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/platform_bottom.png HTTP/1.1" 200 120601 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/platform_top.png HTTP/1.1" 200 106054 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/shirt1.png HTTP/1.1" 200 42230 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/default.png HTTP/1.1" 200 15093 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_cart.svg HTTP/1.1" 200 1056 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets//images/home/logo.svg HTTP/1.1" 200 1331 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/profile_border.svg HTTP/1.1" 200 665 "https://angrobit.shop/assets/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/preview_slider-bg.svg HTTP/1.1" 200 1648 "https://angrobit.shop/assets/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/floor.png HTTP/1.1" 200 69709 "https://angrobit.shop/assets/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/header_border.svg HTTP/1.1" 200 677 "https://angrobit.shop/assets/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/preview_border.svg HTTP/1.1" 200 677 "https://angrobit.shop/assets/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_game.svg HTTP/1.1" 200 8688 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_home_active.svg HTTP/1.1" 200 641 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_collection.svg HTTP/1.1" 200 598 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_catalog.svg HTTP/1.1" 200 686 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_search.svg HTTP/1.1" 200 430 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_arrow.svg HTTP/1.1" 200 314 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
95.65.20.52 - - [25/Nov/2024:00:52:38 +0100] "GET /assets/images/home/icons/icon_burger.svg HTTP/1.1" 200 373 "https://angrobit.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
