2024/11/25 04:36:24 [warn] 102006#102006: *3777 an upstream response is buffered to a temporary file /var/lib/nginx/proxy/5/04/0000000045 while reading upstream, client: 202.8.42.187, server: angrobit.shop, request: "GET /assets/models/man_mannequin.bin HTTP/1.1", upstream: "http://127.0.0.1:8080/assets/models/man_mannequin.bin", host: "angrobit.shop", referrer: "https://angrobit.shop/"
2024/11/25 04:36:25 [warn] 102006#102006: *3777 an upstream response is buffered to a temporary file /var/lib/nginx/proxy/6/04/0000000046 while reading upstream, client: 202.8.42.187, server: angrobit.shop, request: "GET /assets/models/hoody.bin HTTP/1.1", upstream: "http://127.0.0.1:8080/assets/models/hoody.bin", host: "angrobit.shop", referrer: "https://angrobit.shop/"
2024/11/25 05:01:25 [warn] 102006#102006: *3859 delaying request, excess: 1.000, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /.env HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:25 [warn] 102007#102007: *3874 delaying request, excess: 0.500, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /.aws/credentials HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:25 [warn] 102006#102006: *3876 delaying request, excess: 1.050, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /.env.example HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:26 [warn] 102006#102006: *3884 delaying request, excess: 0.525, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /.env.production HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:26 [warn] 102007#102007: *3882 delaying request, excess: 0.275, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /.env.example HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:26 [warn] 102006#102006: *3895 delaying request, excess: 0.850, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /api/.env HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:27 [warn] 102007#102007: *3897 delaying request, excess: 0.125, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /.env.production HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:28 [warn] 102007#102007: *3913 delaying request, excess: 0.650, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /api/.env HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:29 [warn] 102007#102007: *3927 delaying request, excess: 0.775, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /app_dev.php/_profiler/open?file=app/config/parameters.yml HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:30 [warn] 102007#102007: *3938 delaying request, excess: 0.350, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /app_dev.php/_profiler/phpinfo HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:31 [warn] 102007#102007: *3946 delaying request, excess: 0.500, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /crm/.env HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:31 [warn] 102006#102006: *3944 delaying request, excess: 1.500, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /app_dev.php/_profiler/phpinfo HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:31 [warn] 102006#102006: *3955 delaying request, excess: 0.950, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /core/.env HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:32 [warn] 102007#102007: *3963 delaying request, excess: 1.000, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /info/ HTTP/1.1", host: "angrobit.shop"
2024/11/25 05:01:32 [warn] 102006#102006: *3962 delaying request, excess: 0.575, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /core/.env HTTP/1.1", host: "www.angrobit.shop"
2024/11/25 05:01:32 [warn] 102007#102007: *3971 delaying request, excess: 0.650, by zone "angrobit.shop", client: 78.153.140.218, server: angrobit.shop, request: "GET /crm/.env HTTP/1.1", host: "angrobit.shop"
